payment_id,invoice_id,payment_date,payment_amount,payment_method,retry_count
P0000001,INV000001,2023-10-11,92.77,ACH,0
P0000002,INV000002,2023-12-04,70.58,ACH,3
P0000003,INV000003,2024-01-06,119.9,Card,0
P0000004,INV000004,2024-01-08,36.56,Wire,3
P0000005,INV000006,2024-03-16,119.9,Card,1
P0000006,INV000008,2024-05-27,99.05,ACH,0
P0000007,INV000009,2024-06-09,71.6,ACH,2
P0000008,INV000010,2024-07-08,107.74,ACH,0
P0000009,INV000011,2024-08-09,110.37,ACH,1
P0000010,INV000012,2024-09-13,119.9,Wire,2
P0000011,INV000013,2024-10-21,119.9,ACH,0
P0000012,INV000014,2024-11-08,45.54,Card,1
P0000013,INV000015,2024-12-06,52.25,ACH,2
P0000014,INV000016,2024-12-21,48.92,Wire,2
P0000015,INV000017,2024-11-17,84.59,ACH,1
P0000016,INV000018,2024-12-28,85.33,Wire,1
P0000017,INV000019,2024-06-07,366.74,Card,0
P0000018,INV000020,2024-07-06,425.7,ACH,2
P0000019,INV000021,2024-08-08,384.35,Card,0
P0000020,INV000022,2024-09-23,425.7,Wire,3
P0000021,INV000023,2024-10-19,425.7,Card,1
P0000022,INV000024,2024-11-17,425.7,ACH,2
P0000023,INV000025,2025-01-08,425.7,Card,2
P0000024,INV000026,2024-03-01,342.06,Card,3
P0000025,INV000028,2024-05-19,355.98,ACH,3
P0000026,INV000029,2024-07-04,314.95,Wire,2
P0000027,INV000030,2024-07-25,386.1,Wire,1
P0000028,INV000031,2024-08-30,386.1,Wire,1
P0000029,INV000032,2024-10-07,122.15,Card,1
P0000030,INV000032,2024-09-28,101.45,Wire,2
P0000031,INV000033,2023-05-10,430.1,Card,0
P0000032,INV000034,2023-05-24,430.1,ACH,3
P0000033,INV000035,2023-06-09,363.91,ACH,1
P0000034,INV000036,2023-07-20,395.17,ACH,1
P0000035,INV000037,2023-08-14,430.1,Card,2
P0000036,INV000038,2023-09-12,430.1,Card,2
P0000037,INV000039,2023-11-01,430.1,ACH,1
P0000038,INV000040,2023-12-06,341.45,Card,0
P0000039,INV000041,2023-12-23,356.59,Card,1
P0000040,INV000042,2024-01-20,309.35,Wire,2
P0000041,INV000043,2024-03-05,74.08,Card,1
P0000042,INV000043,2024-02-17,20.68,ACH,2
P0000043,INV000044,2024-03-26,147.19,Wire,1
P0000044,INV000045,2024-04-29,352.56,Card,2
P0000045,INV000046,2023-04-30,114.4,Wire,1
P0000046,INV000047,2023-05-03,90.14,Card,1
P0000047,INV000048,2023-06-17,114.4,ACH,3
P0000048,INV000049,2023-08-05,114.4,Card,2
P0000049,INV000050,2023-07-04,140.8,ACH,3
P0000050,INV000051,2023-08-28,79.39,Wire,1
P0000051,INV000052,2023-09-23,155.1,Card,2
P0000052,INV000053,2023-11-03,90.65,Wire,1
P0000053,INV000054,2023-12-04,155.1,Card,0
P0000054,INV000055,2023-12-11,155.1,Card,2
P0000055,INV000056,2024-01-02,155.1,ACH,2
P0000056,INV000057,2024-03-03,155.1,ACH,1
P0000057,INV000058,2024-04-02,136.72,Wire,3
P0000058,INV000059,2024-04-15,155.1,Card,2
P0000059,INV000060,2024-05-30,126.92,Wire,3
P0000060,INV000061,2024-07-10,126.94,ACH,3
P0000061,INV000062,2024-07-08,155.1,Wire,0
P0000062,INV000063,2024-08-02,2899.6,Card,3
P0000063,INV000064,2024-08-25,2899.6,Card,3
P0000064,INV000065,2024-09-26,2899.6,Wire,2
P0000065,INV000067,2024-11-08,2899.6,Card,0
P0000066,INV000068,2024-12-01,2383.94,Wire,1
P0000067,INV000070,2023-03-11,70.4,ACH,3
P0000068,INV000071,2023-04-12,57.59,Wire,1
P0000069,INV000072,2023-05-07,70.4,Wire,1
P0000070,INV000073,2023-07-04,24.22,Card,0
P0000071,INV000074,2023-07-24,70.4,Card,1
P0000072,INV000075,2023-08-24,58.16,Wire,2
P0000073,INV000076,2023-08-02,338.57,Wire,0
P0000074,INV000077,2023-10-06,234.13,ACH,0
P0000075,INV000078,2023-10-12,369.6,Wire,0
P0000076,INV000079,2023-11-12,369.6,Wire,2
P0000077,INV000080,2023-12-31,283.96,Wire,3
P0000078,INV000081,2024-01-04,369.6,ACH,0
P0000079,INV000083,2024-03-03,369.6,Wire,1
P0000080,INV000084,2024-04-10,308.0,ACH,3
P0000081,INV000085,2024-06-05,369.6,Card,2
P0000082,INV000086,2024-06-22,369.6,Wire,3
P0000083,INV000087,2024-07-21,347.09,Wire,0
P0000084,INV000088,2024-08-22,369.6,ACH,0
P0000085,INV000089,2024-10-06,148.61,Card,0
P0000086,INV000089,2024-09-24,53.47,Wire,1
P0000087,INV000090,2024-10-15,369.6,Card,2
P0000088,INV000091,2024-11-04,86.65,Card,1
P0000089,INV000092,2024-12-29,369.6,ACH,3
P0000090,INV000093,2024-10-04,102.41,Wire,0
P0000091,INV000094,2024-11-03,108.9,Wire,1
P0000092,INV000095,2024-11-03,69.39,Card,2
P0000093,INV000096,2024-12-23,108.9,ACH,1
P0000094,INV000097,2024-12-23,265.05,Card,2
P0000095,INV000098,2024-03-05,2341.14,ACH,0
P0000096,INV000099,2024-04-22,2171.76,ACH,2
P0000097,INV000100,2024-05-15,2473.9,Wire,1
P0000098,INV000101,2024-06-17,2473.9,ACH,1
P0000099,INV000103,2024-08-04,2473.9,Wire,0
P0000100,INV000104,2024-09-25,2077.73,Wire,1
