usage_id,customer_id,subscription_id,date,feature_used,billable_units,billable_value
U0000001,C0001,S00001,2024-05-30,core_api,780,7.8
U0000002,C0001,S00001,2024-05-07,core_api,813,8.13
U0000003,C0001,S00001,2023-11-08,core_api,786,7.86
U0000004,C0001,S00001,2024-09-02,core_api,817,8.17
U0000005,C0001,S00001,2023-10-25,core_api,817,8.17
U0000006,C0001,S00001,2024-06-12,core_api,761,7.61
U0000007,C0001,S00001,2024-08-12,core_api,735,7.35
U0000008,C0001,S00001,2024-09-26,core_api,778,7.78
U0000009,C0001,S00001,2024-02-23,core_api,826,8.26
U0000010,C0001,S00001,2024-06-29,core_api,858,8.58
U0000011,C0001,S00001,2023-12-06,core_api,799,7.99
U0000012,C0001,S00001,2024-01-22,core_api,817,8.17
U0000013,C0001,S00001,2024-08-14,core_api,787,7.87
U0000014,C0001,S00001,2024-08-20,core_api,861,8.61
U0000015,C0001,S00001,2024-08-07,core_api,767,7.67
U0000016,C0001,S00001,2023-10-22,core_api,813,8.13
U0000017,C0001,S00001,2024-07-01,core_api,818,8.18
U0000018,C0001,S00001,2024-05-27,core_api,801,8.01
U0000019,C0001,S00001,2024-05-13,core_api,800,8.0
U0000020,C0001,S00001,2023-11-03,core_api,798,7.98
U0000021,C0001,S00001,2024-08-05,core_api,759,7.59
U0000022,C0001,S00001,2023-12-14,core_api,777,7.77
U0000023,C0001,S00001,2023-12-30,core_api,760,7.6
U0000024,C0001,S00001,2024-08-18,core_api,734,7.34
U0000025,C0001,S00001,2024-09-23,core_api,806,8.06
U0000026,C0001,S00001,2023-11-24,core_api,752,7.52
U0000027,C0001,S00001,2024-09-09,core_api,820,8.2
U0000028,C0001,S00001,2024-01-23,core_api,761,7.61
U0000029,C0001,S00001,2024-04-05,core_api,786,7.86
U0000030,C0001,S00001,2024-07-16,core_api,772,7.72
U0000031,C0001,S00001,2024-05-10,core_api,827,8.27
U0000032,C0001,S00001,2024-06-18,core_api,770,7.7
U0000033,C0001,S00001,2024-07-11,core_api,822,8.22
U0000034,C0001,S00001,2023-11-19,core_api,806,8.06
U0000035,C0001,S00001,2024-02-12,core_api,839,8.39
U0000036,C0001,S00001,2024-09-14,core_api,846,8.46
U0000037,C0001,S00001,2024-07-15,core_api,809,8.09
U0000038,C0001,S00002,2024-10-10,core_api,805,8.05
U0000039,C0001,S00002,2024-11-29,core_api,840,8.4
U0000040,C0001,S00002,2024-10-29,core_api,781,7.81
U0000041,C0001,S00002,2024-12-25,core_api,821,8.21
